account_key,account_id,customer_key,account_type,currency,credit_limit,current_balance,account_status,open_date,balance_tier
1,NAB-A00000001,1,Fixed Deposit,USD,10885.13,5046.16,Active,2021-05-31,Low
2,NAB-A00000002,2,Fixed Deposit,NGN,256436.26,108987.15,Dormant,2020-02-02,High
3,NAB-A00000003,2,Savings,NGN,5213.38,3737.61,Active,2020-02-06,Low
4,NAB-A00000004,3,Premium,NGN,26572.33,9444.29,Active,2020-05-15,Low
5,NAB-A00000005,4,Current,USD,4930.48,2633.94,Active,2023-08-18,Low
6,NAB-A00000006,4,Savings,USD,51363.25,3760.54,Dormant,2023-08-08,Low
7,NAB-A00000007,5,Current,GBP,9142.0,5080.56,Active,2022-06-14,Low
8,NAB-A00000008,6,Current,USD,5132.0,3714.81,Active,2023-03-05,Low
9,NAB-A00000009,6,Current,USD,9680.37,7669.25,Closed,2023-03-14,Low
10,NAB-A00000010,7,Current,GHS,10198.76,2338.85,Active,2021-10-26,Low
11,NAB-A00000011,7,Savings,GHS,9365.51,8849.48,Suspended,2021-10-22,Low
12,NAB-A00000012,8,Fixed Deposit,USD,4542.91,1021.57,Active,2023-05-12,Low
13,NAB-A00000013,9,Current,NGN,9769.82,5371.18,Active,2023-12-16,Low
14,NAB-A00000014,9,Premium,NGN,4796.54,1396.45,Active,2023-12-25,Low
15,NAB-A00000015,10,Current,GBP,229884.84,176933.29,Active,2022-04-12,High
16,NAB-A00000016,11,Savings,USD,24596.8,15163.52,Active,2021-01-04,Mid
17,NAB-A00000017,12,Savings,NGN,9039.72,5023.51,Active,2019-04-04,Low
18,NAB-A00000018,12,Current,NGN,109909.55,72754.52,Active,2019-04-20,High
19,NAB-A00000019,12,Current,NGN,10989.17,8283.87,Active,2019-05-01,Low
20,NAB-A00000020,13,Current,NGN,9133.29,2228.11,Active,2019-09-16,Low
21,NAB-A00000021,14,Current,USD,5169.42,3777.32,Active,2019-02-06,Low
22,NAB-A00000022,15,Fixed Deposit,USD,10497.1,7877.53,Active,2020-04-11,Low
23,NAB-A00000023,16,Premium,NGN,4562.18,740.6,Active,2020-11-16,Low
