customer_key,customer_id,first_name,last_name,full_name,email,phone,country,city,location_key,kyc_status,preferred_channel,join_date,customer_segment,is_fraud_target
1,NAB-C000001,Sade,Mensah,Sade Mensah,sade.mensah1@email.com,+2348365121943,Canada,Toronto,35,Verified,POS,2021-05-18,SME,1
2,NAB-C000002,Ronke,Zulu,Ronke Zulu,ronke.zulu2@email.com,+2348391645397,Nigeria,Ibadan,5,Verified,Mobile Banking,2020-02-02,SME,1
3,NAB-C000003,William,Taylor,William Taylor,william.taylor3@email.com,+2348477816546,Nigeria,Enugu,7,Verified,Web Banking,2020-05-01,Corporate,1
4,NAB-C000004,Aisha,Wilson,Aisha Wilson,aisha.wilson4@email.com,+2347453082198,United States,Chicago,32,Verified,POS,2023-07-20,Corporate,1
5,NAB-C000005,Peace,Oduya,Peace Oduya,peace.oduya5@email.com,+2347299853838,United Kingdom,Liverpool,14,Verified,Mobile Banking,2022-06-08,Corporate,1
6,NAB-C000006,Ntombi,Lewis,Ntombi Lewis,ntombi.lewis6@email.com,+2348094199380,Canada,Calgary,38,Verified,Web Banking,2023-02-22,Retail,1
7,NAB-C000007,Joseph,Obiora,Joseph Obiora,joseph.obiora7@email.com,+2347819521169,Ghana,Sekondi-Takoradi,18,Verified,Web Banking,2021-10-05,Premium,1
8,NAB-C000008,Isabella,Garcia,Isabella Garcia,isabella.garcia8@email.com,+2348463961867,UAE,Dubai,50,Verified,POS,2023-04-12,Corporate,1
9,NAB-C000009,Kwame,Ndlovu,Kwame Ndlovu,kwame.ndlovu9@email.com,+2349048304102,Nigeria,Enugu,7,Verified,ATM,2023-11-26,Corporate,1
10,NAB-C000010,Jack,Ikenna,Jack Ikenna,jack.ikenna10@email.com,+2348807471163,United Kingdom,London,9,Pending,Web Banking,2022-03-31,SME,1
11,NAB-C000011,Mercy,Smith,Mercy Smith,mercy.smith11@email.com,+2348972449774,Kenya,Eldoret,29,Expired,Mobile Banking,2020-12-11,Corporate,1
12,NAB-C000012,George,Adeyemi,George Adeyemi,george.adeyemi12@email.com,+2348732535702,Nigeria,Kaduna,6,Pending,Mobile Banking,2019-04-04,Retail,1
13,NAB-C000013,Tunde,Mensah,Tunde Mensah,tunde.mensah13@email.com,+2348143977779,Nigeria,Benin City,8,Pending,ATM,2019-08-28,SME,1
14,NAB-C000014,Kofi,Yusuf,Kofi Yusuf,kofi.yusuf14@email.com,+2348302650515,France,Lyon,46,Verified,Web Banking,2019-01-11,SME,1
15,NAB-C000015,Olivia,Williams,Olivia Williams,olivia.williams15@email.com,+2347801914424,Kenya,Nakuru,28,Expired,Web Banking,2020-04-11,Premium,1
16,NAB-C000016,Chioma,Taylor,Chioma Taylor,chioma.taylor16@email.com,+2347494167625,Nigeria,Kaduna,6,Verified,Web Banking,2020-10-24,Retail,1
17,NAB-C000017,Zainab,Adewale,Zainab Adewale,zainab.adewale17@email.com,+2348104141864,Nigeria,Lagos,1,Pending,Mobile Banking,2023-07-10,Premium,1
18,NAB-C000018,Peace,Buhari,Peace Buhari,peace.buhari18@email.com,+2348734086606,Nigeria,Benin City,8,Verified,Web Banking,2021-04-08,Retail,1
19,NAB-C000019,Daniel,Hassan,Daniel Hassan,daniel.hassan19@email.com,+2347116331731,Nigeria,Enugu,7,Verified,ATM,2019-10-31,Retail,1
20,NAB-C000020,Aisha,Davies,Aisha Davies,aisha.davies20@email.com,+2348151664882,Kenya,Nairobi,25,Verified,Web Banking,2022-11-08,Premium,1
21,NAB-C000021,Patience,Lopez,Patience Lopez,patience.lopez21@email.com,+2348838174903,United Kingdom,London,9,Verified,Web Banking,2019-02-02,Retail,1
22,NAB-C000022,Ama,Buhari,Ama Buhari,ama.buhari22@email.com,+2347507621088,United States,New York,30,Expired,Mobile Banking,2019-02-28,Premium,1
23,NAB-C000023,Lily,Davis,Lily Davis,lily.davis23@email.com,+2347838424338,Canada,Toronto,35,Verified,Mobile Banking,2023-11-28,Premium,1
24,NAB-C000024,Gbenga,Lewis,Gbenga Lewis,gbenga.lewis24@email.com,+2347332423659,South Africa,Port Elizabeth,24,Verified,Mobile Banking,2021-03-11,SME,1
25,NAB-C000025,Aisha,Buhari,Aisha Buhari,aisha.buhari25@email.com,+2348023895541,Nigeria,Kaduna,6,Verified,Web Banking,2020-08-23,SME,1
26,NAB-C000026,Aisha,Ambode,Aisha Ambode,aisha.ambode26@email.com,+2348450007910,Nigeria,Kano,3,Verified,POS,2023-07-16,Premium,1
27,NAB-C000027,Chioma,Taylor,Chioma Taylor,chioma.taylor27@email.com,+2348411698121,Ghana,Accra,15,Verified,Web Banking,2021-07-27,Corporate,1
28,NAB-C000028,Bola,Brown,Bola Brown,bola.brown28@email.com,+2347281058962,South Africa,Durban,22,Verified,ATM,2021-09-13,Corporate,1
29,NAB-C000029,Oliver,Nkosi,Oliver Nkosi,oliver.nkosi29@email.com,+2348209019634,Germany,Berlin,40,Verified,Branch,2020-06-08,Retail,1
30,NAB-C000030,William,Davis,William Davis,william.davis30@email.com,+2348888218465,United Kingdom,Manchester,10,Expired,Mobile Banking,2023-07-15,Corporate,1
31,NAB-C000031,Yusuf,Saleh,Yusuf Saleh,yusuf.saleh31@email.com,+2348404403443,United States,Chicago,32,Verified,Web Banking,2019-05-25,Corporate,1
